stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
3142,8,11.47,148th (2DS022) @ WB I-84 MP11.47,1.06,,304,-122.50928,45.54242,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1013,1,297.4,Bertha (2R309) to NB I-5,0.35,,355,-122.6845,45.46981,"{""bounds"": ""[)"", ""lower"": ""2014-09-25"", ""upper"": null}"
1114,4,2.86,Stafford Rd (2R390) to SB I-205,1.295,,231,-122.71332,45.37186,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1066,9,2.68,Denney (2R342) to NB OR 217,0.62,,7,-122.78532,45.47017,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
3140,8,10.04,122nd (2DS021) @ WB I-84 MP10.04,2.385,,303,-122.53821,45.54689,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1106,4,13.38,Milwaukie Expressway (2R037) to SB I-205,0.825,,240,-122.572,45.41848,"{""bounds"": ""[)"", ""lower"": ""2014-12-02"", ""upper"": null}"
3157,9,3.4,Hall (2DS064) @ NB OR 217 MP3.4,0.585,,53,-122.78636,45.46386,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1107,2,295.18,Capitol (2R306) on SB I-5,1.105,,175,-122.71862,45.45357,"{""bounds"": ""[)"", ""lower"": ""2014-10-22"", ""upper"": null}"
3148,8,14.4,207th (2DS025) @ WB I-84 MP14.4,0.695,,307,-122.44903,45.53891,"{""bounds"": ""[)"", ""lower"": ""2016-05-31"", ""upper"": null}"
3120,2,301.32,N. Morrison Bridge (2DS070) @ SB I-5 MP301.32,0.685,,90,-122.66586,45.52099,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1031,2,304.85,Rosa Parks (2R014) to SB I-5,0.66,,182,-122.67897,45.56889,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1082,11,62.47,SB Cornelius Pass Rd Loop (2R373) to EB US 26,0.775,,439,-122.90192,45.55324,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
3169,1,302.52,Broadway (2DS010) @ NB I-5 MP302.52,0.3,,71,-122.66727,45.53625,"{""bounds"": ""[)"", ""lower"": ""2016-11-16"", ""upper"": null}"
1054,4,17.5,Foster (2R033) to SB I-205,1.34,,470,-122.56637,45.47746,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
3173,2,305.6,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,0.195,,257,-122.67886,45.57877,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1002,1,286.3,WB Elligsen Slip (2R314) to NB I-5,0.68,,78,-122.76859,45.3376,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
3108,5,1.15,Broadway (2DS006) @ NB I-405 MP1.15,0.81,,91,-122.68478,45.50792,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
3151,7,15.94,238th (2DS027) @ EB I-84 MP15.94,0.865,,292,-122.41853,45.53952,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
3106,3,23.27,Prescott (2DS005) @ NB I-205 MP23.27,0.195,,265,-122.56758,45.55579,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1097,7,0.1,EB Morrison (2R074) to EB I-84,0.275,,202,-122.66529,45.52048,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1071,9,6.61,NB 72nd (2R348) to NB OR 217,0.64,,2,-122.75122,45.42685,"{""bounds"": ""[)"", ""lower"": ""2016-03-04"", ""upper"": null}"
1070,9,5.9,NB OR 99W Loop (2R335) to NB OR 217,0.24,,3,-122.75986,45.43428,"{""bounds"": ""[)"", ""lower"": ""2016-03-04"", ""upper"": null}"
3159,12,62.48,Cornelius Pass (2DS066) WB US26 MP62.48,1.595,,261,-122.9006,45.55357,"{""bounds"": ""[)"", ""lower"": ""2015-06-03"", ""upper"": null}"
3196,6,1.15,Broadway (2DS006) @ SB I-405 MP1.15,0.145,,73,-122.68478,45.50792,"{""bounds"": ""[)"", ""lower"": ""2014-06-05"", ""upper"": null}"
1104,4,8.5,OR 43 (2R351) to SB I-205,0.48,,234,-122.6123,45.36205,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
10396,55,30.95,SR500 SB,0.585,,205es03095:_MS,-122.571367,45.657112,"{""bounds"": ""[)"", ""lower"": ""2015-04-09"", ""upper"": null}"
10401,54,30.94,SR500 NB,0.575,,205es03094:_MN,-122.570972,45.657269,"{""bounds"": ""[)"", ""lower"": ""2015-04-09"", ""upper"": null}"
10408,502,11.03,209th,0.47,,005es01103:_MS,-122.669899,45.772275,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
10416,501,11.03,209th,0.435,,005es01103:_MN,-122.669274,45.772386,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
10446,54,30.38,39th NB,0.535,,205es03038:_MN,-122.566092,45.649898,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10391,54,29.87,Burton,0.51,,205es02987:_MN,-122.5633,45.642552,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10429,55,30.36,39th SB,0.54,,205es03036:_MS,-122.56688,45.649508,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10392,51,10.49,East of 192nd,0.965,,014es01049:_MW,-122.465566,45.583793,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10440,51,9.52,Quarry Rd.,0.985,,014es00952:_MW,-122.484928,45.587305,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10409,50,10.49,East of 192nd,0.965,,014es01049:_ME,-122.465619,45.583697,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10389,501,81.32,Mellen Couplet,0.455,,005es08132:_MN,-122.973849,46.706711,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10424,501,80.76,MELLEN CPLT OFF ,2.39,,005es08076:_MN,-122.971274,46.699169,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10606,51,1.93,MP 1.93,0.425,,014es00193:_MW,-122.633766,45.61862,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
10600,502,8.24,154th,0.635,,005es00824:_MS,-122.65735,45.732697,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10607,50,1.93,MP 1.93,0.425,,014es00193:_ME,-122.633766,45.6185,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
10417,50,0.17,Apple Tree,0.375,,014es00017:_ME,-122.669082,45.622064,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10407,502,7.56,139th,0.47,,005es00756:_MS,-122.654959,45.722834,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10438,502,6.89,129th,0.495,,005es00689:_MS,-122.653155,45.713088,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10603,52,2.35,54th Ave,0.93,,500es00235:_ME,-122.617304,45.64786,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10604,52,3.32,Andresen RD,0.81,,500es00332:_ME,-122.597903,45.64956,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10605,53,3.32,Andresen RD,0.81,,500es00332:_MW,-122.598041,45.649653,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10602,53,2.35,54th Ave,0.93,,500es00235:_MW,-122.617304,45.647993,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10601,501,8.24,154th,0.635,,005es00824:_MN,-122.65705,45.732697,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1516,501,7.3,I-5 NB at 134th,0.335,,005es00730:_MN,-122.654418,45.717047,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10403,501,7.56,139th,0.47,,005es00756:_MN,-122.65476,45.722825,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10400,51,0.17,Apple Tree,0.375,,014es00017:_MW,-122.669169,45.622003,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10402,50,5.0,97th AVE,0.635,,014es00500:_ME,-122.572954,45.608473,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10428,50,0.91,Col. Shores BLVD,0.485,,014es00091:_ME,-122.625719,45.618404,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10399,53,8.75,152nd AVE,2.835,,500es00875:_MW,-122.516603,45.682924,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
1515,502,7.3,I-5 SB at 134th,0.335,,005es00730:_MS,-122.654627,45.717013,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10430,501,9.76,179th ST NB,0.985,,005es00976:_MN,-122.663541,45.753931,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1647,501,8.83,I-5 NB at 159th,0.76,,005es00883:_MN,-122.659004,45.739135,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1527,50,4.32,Lieser EB,0.62,,014es00432:_ME,-122.586247,45.611206,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10426,501,6.89,129th,0.495,,005es00689:_MN,-122.65291,45.713107,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10435,50,3.76,73rd AVE,0.635,,014es00376:_ME,-122.597386,45.612859,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10433,51,3.76,73rd AVE,0.635,,014es00376:_MW,-122.597375,45.612951,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10421,53,9.64,79th ST,0.945,,500es00964:_MW,-122.5058,45.680802,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
10447,52,8.75,152nd AVE,2.835,,500es00875:_ME,-122.516592,45.682832,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
10432,52,9.64,79th ST,0.945,,500es00964:_ME,-122.505942,45.680802,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
1529,50,5.59,Ellsworth EB,0.65,,014es00559:_ME,-122.561003,45.605912,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1636,51,13.14,Lady Island,1.13,,014es01314:_MW,-122.416401,45.575262,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1552,501,3.78,63rd,0.575,,005es00378:_MN,-122.665411,45.669626,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
10393,55,34.35,ST Johns SB,0.68,,205es03435:_MS,-122.611251,45.695655,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
10410,502,9.77,179th ST SB,0.99,,005es00977:_MS,-122.663888,45.75388,"{""bounds"": ""[)"", ""lower"": ""2014-07-28"", ""upper"": null}"
1517,502,8.83,I-5 SB at 159th,0.765,,005es00883:_MS,-122.659279,45.739095,"{""bounds"": ""[)"", ""lower"": ""2014-07-28"", ""upper"": null}"
